text,video_title,video_id,likes
🤨🤨🤨🤨🤨🤐از چنگال عدالت خداوند ، هیچ راه گریزی نیست . 😉😉😉😉😉🤭🤗🤗😊😊😊,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
سناریو تکراری حق,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,1
نیوزیلند رو نتونستن شکست بدن بعد میثاقی به گل خوردن تیم الجزایر در دقیقه آخر به هدف رو در رو نشدن با اسپانیا در دور بعد میگه تبانی! میثاقی ابله، تیم الجزایر اصلا به تیم تو فکر هم نمیکرده، اونها فقط به این فکر میکردن که باید بازی مساوی تموم بشه تا هم صعود کنیم هم به اسپانیا نخوریم؛ نه اینکه باید مساوی کنیم تا تیم ایران صعود نکنه.,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,8
آقای محترم خرج فوتبال ایران نمیشه,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
زاررررررررررررت،،،.,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,3
آغای میثاقی تو که جرات نداری از قلعه نویی انتقاد کنی چرا از بازیمون مقابل نیوزلند نتونستی آشکار انتقاد کنی؟ چرا از بازیمون مقابل مصر نمیگی که بازیکنانمون یه جوری بازی میکردن که انگار تیم ما با سه امتیاز صعود میکنیم,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,2
طارمی توبازی باازبکستان میگف من پنالتی هاموزدم من دیگه کارموبلدم جوونابایدیادبگیرن.....حالادیدی آقای طارمی که کی بایدیادبگیره؟😢,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
ای که خودتو مجری می‌دونی می‌دونی برای چی سقوط کرد ایران چون دل مردمو شکستید شما,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
وخداوند در کمینگاه ستمکاران است ❤❤❤,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,5
اگر. غیرت. داشتند. باید. خون. گریه. میکردند. سه. بازی. چهار. گل. پنالتی. ...... خاک. توی. سر. کادر. فنی. باید. رید. سر در. فدارسیون فوتبال. ❤,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
🤣🤣🤣🤣ارزش سهام رولکس (ساعت قلعه چوسی ) ب چوس دلار رسید 🤣🤣🤣🤣 هان چی شد اُزگل 🤣🤣🤣🤣,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
خدارو شکر ک تیم جمهوری اسلامی حذف شد,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
نوش جونشون. عاقبت خوش رقصیتون برای نظام میشه اینکه هیچکس تف تو صورتتون نمیندازه. مقایسه بکنید با جوانان رعنا و غیور والیبال که اتفاقا تو همین ادوار بازی دارن,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,7
نفرین مردم دنبالشون مگه میشه 50 هزارنفر کشته بشوند شما تو دلار غرق بشوید کارما هست,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,7
خوب شد حذف شدن برگشتن ایران,لحظه حذف ایران از جام جهانی گریه بازیکنان در کمپ تیم ملی🔻شوک,uRgG9EdrKaY,0
