text,video_title,video_id,likes
استقلال نیمکتش خالی از بازیکن تعویضی هستش ولی این بازی از جون و دل بازی کردن .,حواشی داغ دربی استقلال پرسپولیس؛ اعتراض به داوری و درگیری کن,dTf7A3Bq78o,1
خدایی من آخر متوجه نشدم این بازیکن های حکومتی( آفساید پولیس) در جواب هوادار میگن ما ۴۰ ملیون هوادار داریم..🤔😃بعد موقعه مسابقه ۵۰۰۰ تا نمیان تو استادیوم...😅 بقیه اون ۴۰ ملیون کجان؟؟؟؟؟,حواشی داغ دربی استقلال پرسپولیس؛ اعتراض به داوری و درگیری کن,dTf7A3Bq78o,1
معمولن ( حسین اتوبوسی) این مدل صحنه که روی حریف انجام میده یادش نمیاد🤔😅ولی خدا نکنه بازیکن مقابل روی حسین اتوبوسی یک برخورد انجام بشه اون مدل رو یادش میاد😅 فکر کنم الان ازش بپرسی( دختر بردی تو اتوبوس تیم ملی...😊) بازهم یادش نیاد.....,حواشی داغ دربی استقلال پرسپولیس؛ اعتراض به داوری و درگیری کن,dTf7A3Bq78o,0
همش دروغ میگه تارتار بااین همه دلالی حریف تاج نیستن😂,حواشی داغ دربی استقلال پرسپولیس؛ اعتراض به داوری و درگیری کن,dTf7A3Bq78o,0
آخر بازی تارتار اومده داره ننه من غریبم درمیاره . سرگیف و از زمین کشید بیرون مطمئن بودم مساوی میشه,حواشی داغ دربی استقلال پرسپولیس؛ اعتراض به داوری و درگیری کن,dTf7A3Bq78o,0
بیچاره ها اینقد نبردن،،، شده ارزو براشون،،، پیر شدن در ارزوی برد ن،،، 😂😂😂😂,حواشی داغ دربی استقلال پرسپولیس؛ اعتراض به داوری و درگیری کن,dTf7A3Bq78o,0
درود سپاس ، دربی خوبی بود ولی حرکت کنعانی اخراج داشت ولی داور به حساب خودش مدیریت کرد💙💙💙💙,فوری: شکایت پرسپولیس از استقلال؟ | جنجال های پایان دربی! | ک,N8Q7Zvr5JWY,0
سلام داداش خسته نباشی مثل همیشه عالی ❤❤❤ ‏‪7:07‬‏,فوری: شکایت پرسپولیس از استقلال؟ | جنجال های پایان دربی! | ک,N8Q7Zvr5JWY,1
چقد قشنگ محرمی صورت قندلی رو با مشت له کرد😂😂😂😂,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,18
ما تو استادیوم از دست نیروها کتک خوردیم بعد میگه خیلی خوب امنیت رو برقرار کردیم,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,12
بعدش بازی های تیم ملی پیش اومد و دیدن تیم ملی خیلی خوبه ولی دروازه بان ندارن. عابدزاده رو بخشیدن . و گفتن جونه حالا یه اتفاقی افتاده 😂😂😂😂😂😂😂😂,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,31
پروژه ی از بین بردن اتحاد میان مردم از همون سالها شروع شد,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,15
همه محرومیت ها هم بخشیده شد، و بی اعتباری کمیته انضباطی و تصمیم گیرندگان را نشان می داد,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,30
قدیم دربی همش جنگ و دعوا بود، از یه هفته جلوتر کل کلها شروع میشد، اینقدر حساس بود که یه مدت داور خارجی میاوردن.,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,3
واقعا تواون شرایط درود ب شرفت غلامپور,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,3
دیگه مانند احمدرضا عابدزاده دروازه بانی مطمئن و با انرژی و باابهت برای تیم ملی و استقلال و پرسپولیس نمی آید،مثل افسانه هاست پنالتی گرفتن هاش برای آیندگان که ازش یاد خواهند کرد و اسطوره و عقاب آسیا برازنده ایشون هست،خدا حفظش کنه،برای سربلندی نام ایران زحمت زیادی کشید...عاشقتم و دوستت دارم جناب عابدزاده عزیز و خنده های زیبایت همیشه در اذهان خواهد ماند.,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,18
پوفیوزتر از این مصطفوی ندیدم من,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,43
من پرسپولیسی هستم ولی دم غلامپور گرم که گفت گل شده..با شرف دروازه بان❤,خشن ترین دربی تاریخ؛مستند جذاب دربی جنجالی سال 73/خلاصه بازی,n8j9ucqkRfU,3
