text,label,source,reason
پرسپولیس❤❤❤❤❤❤,0,youtube_real,real_gold_normal
سروش بجای رفتن و خوشگذرانی در دبی کمی برای آرامش تیم وقت بذاره نه اینکه همبازی باعث درگیری و جنجال با همبازیهاش باشه .,0,youtube_real,real_gold_critique
سرانجام یکی از نوچه های درویش جایش را خواهد گرفت و پروین هم صاحب‌نظر خواهدبود,0,youtube_real,real_gold_sarcasm
ارانوف مسدود اف,0,youtube_real,real_gold_normal
پیروزی حالا حالاها رفت حاشیه ببینید,0,youtube_real,real_gold_normal
جانم همه هوادارای باغیرت پرسپولیس ❤️😍,0,youtube_real,real_gold_normal
❤️👑❤️👑❤️👑❤️👑❤️👑❤️ تبریک به هوادارای خونگرم بهبهان، تبریک به همه پرسپولیسیای ایران ❤️👑❤️👑❤️👑❤️👑❤️👑❤️,0,youtube_real,real_gold_normal
پرسپولیس عشق ❤❤❤❤❤❤ پرسپولیس سرور و سالار ❤❤❤❤❤❤ پرسپولیس همیشه قهرمان ❤️❤️❤️❤️❤️❤️,0,youtube_real,real_gold_normal
زنده باد پرسپولیس ولی دختر آبی؟,0,youtube_real,real_gold_sarcasm
ارتش سرخ اسیا❤💚,0,youtube_real,real_gold_normal
آقای مثلاً گزارشگر اول باید بگویم که همه زبانها وفرهنگ های کشور محترم وقابل احترام می‌باشند ولی وقتی اسم بهبهان گذاشتی جا داشت با چنتا بهبهانی هم مصاحبه کنی نه همه مصاحبه هات واهنگ از برادر های عزیز لر زبان گذاشتی,0,youtube_real,real_gold_critique
دم مدیران پرسپولیس گرم که پول بیخود خرج نمیکنه همینجور ادامه بده,0,youtube_real,real_gold_normal
دمت گرم ایمان جان تکی تک,0,youtube_real,real_gold_normal
این بهترین برنامت بود ،هزارتا لایک داشت,0,youtube_real,real_gold_normal
دمت گرم واقعا ایمان جان عالی بود با قدرت ادامه بده,0,youtube_real,real_gold_normal
😢😢😢 حرف حساب,0,youtube_real,real_gold_normal
دمت گرم واقعا حرف حق رو زدین فوتبال خوبه، بازیکن تیم محبوبت خوبه طرفداریشو کنی و. رو تیمت تعصب داشته باشی منتها تو زندگی ادم نباید برده باشه چه پول چه فوتبال چه هرچیزی,0,youtube_real,real_gold_normal
عیسی بازیکن خیلی خوبیه بازیکن لحظه های طلایی هاست در عین حال باید اینو در نظر داشت که رقابت تو پرسپولیس موندن بسیار سخت و دشوار هست ❤️👑💪🚩,0,youtube_real,real_gold_critique
ایول عالی گفتی یعنی این همه آدم اونجا همشون از قشر ضعیف هسن یعنی شک نکن,0,youtube_real,real_gold_normal
مرسی ایمان جان لایک داری..,0,youtube_real,real_gold_normal
زنده باشی و البته خسته نباشی داداش کدوم قسمت صحبت و اشاره بود ؟؟,0,youtube_real,real_gold_normal
