id,text,label,source
real-0001,تو این روزگاری که کسی تا پول ندی جواب سلامت رو نمیده اینکه شما اینطور دانشتون رو نشر میدین واقعا جای قدردانی داره سپاس بیکران,0,youtube-tutorials
real-0002,واقعا خیلی مردی که به جای اینکه این دوره هارو خداد تومن بفروشی رایگان میزاری فوق العاده ای منم چنلتو به کلی از دوستام معرفی کردم بیان عشق کنن دمت گرم,0,youtube-tutorials
real-0003,بسیار عالی بود خدا خیرتون بده که به جوونای این مملکت کمک میکنید ایشالا هرچی که میخواهید خدا بهتون بده و عاقبت بخیر بشوید,0,youtube-tutorials
real-0004,عالیه ولی اگر ممکنه دوره پروژه محور هم بزارید که پروژه های کاربردی توش باشه,0,youtube-tutorials
real-0005,بی نقص توی یک ساعت اندازه ی یک ماه آموزشگاه رو بهترش رو درس میدین🎉😂❤,0,youtube-tutorials
real-0006,چندین آموزش پایتون دیدم. به جرات میگم کامل کامله و بسیار عالی آموزش داده شده.,0,youtube-tutorials
real-0007,عالی و کاملا مناسب برای افرادی که تازه میخوان شروع کنن . فقط کاش یک جزوه هم قرار میدادید تا این اثر فوق‌العاده تکمیل میشد,0,youtube-tutorials
real-0008,اگر کاملاً مبتدی و صفر کیلومتر هستید، پیشنهاد می‌کنم این ویدیو رو به‌عنوان دوره‌ی اولتون نبینید. اوایل ویدیو مطالب قابل فهمه، اما هرچی مباحث سخت‌تر می‌شن، توضیحات و مثال‌ها کافی نیستن و ممکنه خیلی از مطالب رو متوجه نشید. برای کسی که هیچ پیش‌زمینه‌ای از پایتون نداره، آموزش روان و کاملی نیست.,0,youtube-tutorials
real-0009,‏‪10:30:29‬‏ جالبه الان ۲۰۲۵ هستیم و دارم ویدیوتون رو میبینم ، ممنون❤,0,youtube-tutorials
real-0010,فوق‌العاده بود من به هرکی که خواست برنامه نویسی شروع کنه اول شمارو معرفی کردم بهش,0,youtube-tutorials
real-0011,من دارم از ۲۰۲۶ میبینم و واقعا عالیه کلی ازتون یاد گرفتم ، امیدوارم بتونم حرفه ای بشم توش و به ثمر برسونم,0,youtube-tutorials
real-0012,سلام استاد اگه میشه یک دوره جنگو برای پایتون ضبط کنید به نظرم مخاطب زیادی داره مخصوصا الان که این دوره پایتون شما هفتصد هزار مرتبه دیده شده بنظرم از جنگو هم استقبال زیادی میشه,0,youtube-tutorials
real-0013,من الان کامنتارو خوندم، کاشکی واقعا عالی باشی استاد,0,youtube-tutorials
real-0014,چه ایده خوبی که تو یک ویدیو تموم میکنی داستان رو اولین نفی هستی که به این سبک درس میدی دم شما گرم,0,youtube-tutorials
real-0015,بین تمام اموزش هایی که دیدم توی این چند ساله .شما جدای از اینکه کامل تر و واضح تر توضیح دادین. اومدی بصورت کامل و از صفر تا صد هم در اختیار مون قرار دادین این اطلاعات رو .ممنون بابت اموزش خوبتون و حسن نیت تون,0,youtube-tutorials
real-0016,خیلی عالی بود کلی یاد گرفتم به جرأت می‌توانم بگم در مقایسه با بقیه ویدیو های اموزش پایتون این کامل ترین و ساده ترین و بهترین اموزشی بود که دیدم، خیلی زحمت کشیدی... ممنون و خسته نباشید.,0,youtube-tutorials
real-0017,سال 2026 و مسیر تحلیلگری داده که من رو به مسیر جذاب برنامه نویسی و پایتون رسوند. سپاس فراوان از شما به خاطر به اشتراک گذاری با ارزش ترین دارایی تان یعنی دانش 💙,0,youtube-tutorials
real-0018,استاد عزیز من توی 4 ماه ویدیو شما را کامل نگاه کردم و چندین اموزش پایتون دیده بودم به جرعت می تونم بگم ویدیو شما هم کامل و کوتاه بود و این که اومیدوارم یه روز بتونم جبران کنم خیلی ازتون سپاس گزارم که این اموزش ها رایگان در اختیار جوانان کشورمون گزاشتی و می تونیم استفاده رایگان کنیم بازم ازتون سپاس گزارم,0,youtube-tutorials
real-0019,خیلی ممنون عالیه کامل ترین کانال آموزش برنامه نویسی❤,0,youtube-tutorials
real-0020,سلام، ممنونم از این آموزش کامل و جامع و بی حاشیه که باعث می شود هنرجو بدون فکر اضافه برنامه نویسی را فرا بگیرد، خدا قوت قهرمان,0,youtube-tutorials
real-0021,داداش دمت گرم کی وقت کردی این همه نرم افزار یاد بگیری ;-),0,youtube-tutorials
real-0022,دمت گرم من تا الان ۲ ساعتش رو دیدم خیلی حرفه کاملا مسلط و بر مبنای رفرنس درس میدی بدون دروغ و گیج کردن صادقانه و صحیح یاد میدی آفرین بر تو من واقعا نیاز دارم یاد بگیرم و با وجود این آموزش استرسم از بین رفته و میدونم دارم اصولی و بر مبنای اصلی یاد میگیرم به جا اینکه چند سال از عمرم بگذره و ندونم چیزی که یاد گرفتم به درد نمیخوره از تو بهترین و درست ترین رو یاد میگیرم,0,youtube-tutorials
real-0023,سلام.من این دوره رو از اول تا آخر توی 5 ماه دیدم.همین الان هم تمومش کردم.به عنوان یک فرد زیر 15 سال به جرات میتونم بگم مفاهیم و شیوه ی تدریس فوووق العاده بود.,0,youtube-tutorials
real-0024,خسته نباشی اصلا خسته کننده نیست یه ساعته با لذت دارم میبینم😂,0,youtube-tutorials
real-0025,فوق العادست آموزش های زیادی رو دیدم ولی آموزش شما بسیار ریز شده و کامل تر هستش واقعا ممنونم که این آموزش خوب را رایگان در اختیار بقیه قرار دادید❤️,0,youtube-tutorials
real-0026,واقعا عالی بود.من خیلی کلیپ دیدم.ولی این یه چیز دیگه بود.کاش میشد هزاربار لایک کرد,0,youtube-tutorials
real-0027,با سلام با اینکه پایتون زبان برنامه نویسی خیلی دشواری هست اما شما چنان واضع و با زبان ساده آموزش دادید که نیازی به هیچ کمک از سایت دیگه یا کتاب نبود و در کمتر از دو هفته کامل یادگرفتم ممنونم از آموزش خیلی خوبتون,0,youtube-tutorials
real-0028,داداش خدا خودتو و خانوادتو و رفیقاتو همرو سالم و سر زنده نگه داره خدا از بزرگی کمت نکنه,0,youtube-tutorials
real-0029,فوق العاده بود تشکر من لذت بردم از آموزشت ، بزرگترین ویژگی آموزش این بود که اصل مطالب رو واضح و دقیق و بدون پرداختن به موضوعات غیر مرتبط گفته شد,0,youtube-tutorials
real-0030,عالي بود دمت گرم 😻😻 امتحان داشتم و هرچي از اينجا ياد گرفتم جواب داد ❤❤❤❤❤❤,0,youtube-tutorials
real-0031,واقعاً دوره‌ی مردی بود... پیر شدم😂😂😂,0,youtube-tutorials
real-0032,هنوز یک ساعت از آموزش رو دیدم و تازه شروع کردم ولی میتونم بگم تا حالا آموزش به این کار درستی و کاملی و ریزبینی ندیدم,0,youtube-tutorials
real-0033,داداش ممنونم که همه ی اموزشای پولی رو رایگان برای کسایی که پول زیادی ندارن میزاری ! عشقی ❤👍,0,youtube-tutorials
real-0034,خدا قوت استاد. معلومه خییییلی زحمت کشیدید. ممنونم که آموزشی به این خوبی رو رایگان در اختیار ما قرار دادید.🌹🙏🏻,0,youtube-tutorials
real-0035,درود برشما برای وقت و انرژی که در این آموزش صرف میکنید بسیار ممنونیم,0,youtube-tutorials
real-0036,شما خیلی خوب توضیح میدید. هزاران بار متشکرم که تمام جزئیات را آموزش میدید با صبر و حوصله و استعداد خاصی که در بیان و انتقال در آموزش دارید، شما بهترینید. متشکرم واقعا,0,youtube-tutorials
real-0037,کورس خوبی بود اما بشدت نیازمند حل تمرین و پروژه های مختلف بود.,0,youtube-tutorials
real-0038,خدا خیرتون بده شما قطعاً یکی از شریف ترین و بهترین انسانهایی هستید که من دیدم خدا خیرتون بده و زندگیتون پر از شادی و سلامتی و اتفاقات عالی باشه💐💖💐💖💐💖,0,youtube-tutorials
real-0039,دمت گرم من خیلی دنبال یادگیری بودم و شما بهم یاد دادین ممنون ایشالا هرچی از خدا می‌خوای بهت بده,0,youtube-tutorials
real-0040,سلام html و css رو تموم کردم و پایتون رو تازه شروع کردم ، واقعا عالی هستین ، خیلی خیلی ممنونم,0,youtube-tutorials
real-0041,واقعا دمتون گرم خدا از هرچی بلا هست نگهتون داره❤️❤️,0,youtube-tutorials
real-0042,از افغانستان خیلی ممنون شما هستم . خداوند متعال در علم شما محترم برکت و زیادت خیر بګرداند. جزاکم الله خیرا.,0,youtube-tutorials
real-0043,استاد واقعا آموزشتون خیلی کامل و فوقالعاده بود. ازتون بابت زحمتی که برای ضبط این ویدیو و اینکه دانشتون رو بدون هیچ چشمداشتی در اختیار همه گذاشتین و کاملترین آموزشی بود که تا الان دیده بودم واقعا ممنونم. انشالله که هرچی میخواین خدا بهتون بده,0,youtube-tutorials
real-0044,دمت گرم داداش ❤ بعد یکماه و روزی ۲ تا ۳ ساعت تازه به نصف ویدئو رسیدم❤,0,youtube-tutorials
real-0045,یکی از بهترین اساتید هستید که توی حوضه برنامه نویسی میشناسم خواهش می کنم نا امید نشید و فعالیتتون قطع نکنید,0,youtube-tutorials
